gc_percent	reads
0	6
1	1
2	3
3	6
4	4
5	15
6	7
7	17
8	21
9	42
10	32
11	77
12	87
13	240
14	278
15	814
16	812
17	2844
18	2881
19	9306
20	10888
21	34414
22	38280
23	116326
24	120812
25	314535
26	307916
27	650754
28	585873
29	1025162
30	876152
31	1432340
32	1106973
33	1789716
34	1367365
35	2123609
36	1649355
37	2526892
38	1874970
39	2683887
40	2101712
41	2970039
42	2195053
43	3171179
44	2318003
45	3435132
46	2333871
47	3414372
48	2272538
49	2920176
50	3350166
51	2086061
52	2957571
53	1950064
54	2740431
55	1837256
56	2523425
57	1607810
58	2190037
59	1336770
60	1983551
61	1245134
62	1773274
63	1072237
64	1450608
65	898207
66	1109352
67	571967
68	770408
69	361968
70	444314
71	237748
72	306039
73	174869
74	214510
75	129185
76	151882
77	78162
78	97104
79	47453
80	58565
81	29746
82	34745
83	17422
84	19543
85	8870
86	8823
87	3483
88	3120
89	1310
90	1324
91	508
92	412
93	154
94	111
95	79
96	38
97	3
