length	reads
17	1
18	1
19	2
20	2
21	4
22	1
23	3
24	6
25	1
26	1
27	10
28	7
29	8
30	9
31	489
32	490
33	452
34	526
35	592
36	554
37	649
38	714
39	794
40	917
41	1005
42	1213
43	1401
44	1493
45	1749
46	1979
47	2240
48	2462
49	2825
50	3216
51	3613
52	4203
53	4686
54	5166
55	5676
56	6319
57	7166
58	7771
59	8811
60	10095
61	11335
62	12598
63	14389
64	15436
65	17280
66	19522
67	21573
68	23611
69	26406
70	28694
71	31793
72	35941
73	39468
74	43702
75	49108
76	53155
77	58951
78	64228
79	69956
80	76891
81	85008
82	92669
83	101565
84	112166
85	122428
86	134119
87	147559
88	157449
89	168507
90	182081
91	196004
92	209736
93	228736
94	243371
95	261211
96	282046
97	301749
98	319624
99	341570
100	356300
101	373809
102	395525
103	415369
104	429499
105	452991
106	473272
107	490749
108	518364
109	534708
110	550107
111	573958
112	584123
113	601532
114	616649
115	621976
116	633535
117	656792
118	666144
119	675901
120	688388
121	692191
122	694991
123	706732
124	700718
125	703487
126	716409
127	715623
128	721514
129	732170
130	727533
131	723023
132	725801
133	719571
134	713656
135	714345
136	708628
137	703994
138	715025
139	712136
140	708778
141	712429
142	695257
143	690961
144	682078
145	669836
146	697008
147	658133
148	652014
149	646719
150	654036
151	46856162
