distance_start_bp	distance_end_bp	UPAL021_R
0	50	0.559827197117687
50	100	0.6740716656054992
100	150	0.8549825807834803
150	200	0.983948356648531
200	250	1.0498174901592674
250	300	1.090303535717835
300	350	1.1191117695082162
350	400	1.1370401219310464
400	450	1.1923494280598868
450	500	1.3385478544685505
500	550	1.7760011956838908
550	600	2.1942046292946493
600	650	2.6442339175585716
650	700	3.190301412123626
700	750	4.5136229313348215
750	800	5.3685660614325625
800	850	6.311890525514564
850	900	8.960564733308154
900	950	11.080444052672453
950	1000	11.16121330608395
1000	1050	10.21664465308961
1050	1100	10.27756859517481
1100	1150	9.771158110630441
1150	1200	9.67594050597715
1200	1250	8.875877399737686
1250	1300	9.165221641284909
1300	1350	10.19122964258495
1350	1400	11.334513621909734
1400	1450	11.082486234997845
1450	1500	10.166070813952802
1500	1550	9.213335604955109
1550	1600	7.57887199081587
1600	1650	8.543967384104288
1650	1700	9.44309112614123
1700	1750	8.83000187287838
1750	1800	8.578489392404167
1800	1850	8.993884737155602
1850	1900	8.768321170046999
1900	1950	7.5411879980223375
1950	2000	6.3682918093073
2000	2050	5.911584286559612
2050	2100	5.92434284899856
2100	2150	6.1032167611032175
2150	2200	6.272433974203533
2200	2250	6.5940110516443395
2250	2300	6.898993055143856
2300	2350	7.506938407351524
2350	2400	8.05301561362458
2400	2450	7.914619162240115
2450	2500	7.639549981169632
2500	2550	7.539290838445524
2550	2600	7.356199074855464
2600	2650	7.193359807277709
2650	2700	7.10650837316541
2700	2750	7.308049615597638
2750	2800	7.422589306120107
2800	2850	7.53842785001453
2850	2900	7.554277497757167
2900	2950	8.461196113512623
2950	3000	8.532427966872307
3000	3050	8.038280999298292
3050	3100	7.757712784962434
3100	3150	7.77986116585683
3150	3200	7.970310581083559
3200	3250	8.279715765796892
3250	3300	8.310939434399584
3300	3350	8.51897458346409
3350	3400	8.48068476850405
3400	3450	8.705403198437331
3450	3500	8.765413980155467
3500	3550	8.494207162019416
3550	3600	7.992507618587488
3600	3650	8.273569320390772
3650	3700	8.653756224466528
3700	3750	9.189902340604982
3750	3800	9.49909171219755
3800	3850	10.030470365456821
3850	3900	9.379565545848521
3900	3950	9.426256449027155
3950	4000	8.959717945260742
4000	4050	8.658194533332077
4050	4100	8.64023190388326
4100	4150	9.037395447931553
4150	4200	9.281220332545734
4200	4250	8.68848554467536
4250	4300	9.121694975860681
4300	4350	9.824566011418275
4350	4400	10.153316250237918
4400	4450	9.725465757237103
4450	4500	10.222426445617828
4500	4550	10.544437749357863
4550	4600	10.497454911120467
4600	4650	10.297724814128438
4650	4700	10.249915997572105
4700	4750	10.451994276541102
4750	4800	10.59325289265764
4800	4850	10.563007004558834
4850	4900	10.165944778542974
4900	4950	10.321260451233755
4950	5000	10.277956557670034
5000	5050	10.222019742768763
5050	5100	9.966170615960346
5100	5150	10.14487690861606
5150	5200	9.898395387898828
5200	5250	10.616856831547189
5250	5300	10.576195588142657
5300	5350	9.946407005235763
5350	5400	9.269209832035363
5400	5450	9.740032319888558
5450	5500	10.825931507195568
5500	5550	11.39309093003586
5550	5600	11.708388329568164
5600	5650	10.864626300804126
5650	5700	10.851871965368959
5700	5750	11.81581796552488
5750	5800	12.018762037267653
5800	5850	11.30797058149186
5850	5900	10.92920309760469
5900	5950	10.799625066596645
5950	6000	10.472223927396406
6000	6050	9.656088789706494
6050	6100	9.637659138313392
6100	6150	9.455848628883679
6150	6200	8.556457617047293
6200	6250	8.559797545286967
6250	6300	8.513893470896393
6300	6350	9.606769021541258
6350	6400	10.001695976405518
6400	6450	10.625214509106994
6450	6500	10.452739886048104
6500	6550	10.80999810170375
6550	6600	11.573695731219928
6600	6650	12.509914832211237
6650	6700	14.15862442214013
6700	6750	14.39700912553284
6750	6800	13.798328464337782
6800	6850	13.914142389610992
6850	6900	13.852744636070472
6900	6950	13.587680258752188
6950	7000	12.265493279861895
7000	7050	10.562390807787803
7050	7100	9.70298244844268
7100	7150	10.733599246345912
7150	7200	11.917936190883363
7200	7250	12.707479384199543
7250	7300	13.233939324110253
7300	7350	14.64426030739902
7350	7400	14.650402198773799
7400	7450	13.37041040951697
7450	7500	11.229055834001532
7500	7550	11.00879997684427
7550	7600	11.498428920938327
7600	7650	10.478806741501646
7650	7700	10.78055877871924
7700	7750	11.998094611434592
7750	7800	14.365012449492271
7800	7850	14.555783646535323
7850	7900	14.014081088468949
7900	7950	14.778809176307783
7950	8000	15.529655165641152
8000	8050	15.471243644429116
8050	8100	14.705481037136483
8100	8150	14.763060809245419
8150	8200	14.93221945337985
8200	8250	15.553943023063134
8250	8300	15.245213866923269
8300	8350	14.842975907202668
8350	8400	12.749829241390485
8400	8450	12.611988453101114
8450	8500	12.09042284475962
8500	8550	13.41023385579607
8550	8600	16.295072706576747
8600	8650	17.3322948991571
8650	8700	15.572760587654244
8700	8750	14.038680667819484
8750	8800	15.552186943855661
8800	8850	15.515378056696637
8850	8900	15.33203704698531
8900	8950	13.661836989132466
8950	9000	11.435834578377682
9000	9050	10.446325045909445
9050	9100	13.645274675642423
9100	9150	14.109399783458151
9150	9200	14.026480261696772
9200	9250	14.10281366672238
9250	9300	14.671694651862657
9300	9350	13.643073257273647
9350	9400	15.40446387416338
9400	9450	15.76009798741202
9450	9500	16.89241896665078
9500	9550	9.464004490234442
9550	9600	8.542999435132518
9600	9650	9.629365914862975
9650	9700	9.930630046069423
9700	9750	10.797816875732051
9750	9800	11.9506922179148
9800	9850	12.838047074420034
9850	9900	11.673325070482873
9900	9950	9.153318189158409
9950	10000	9.258733347682863
10000	10050	8.986741417121548
10050	10100	8.964714438576703
10100	10150	8.515404052932025
10150	10200	8.632358532652656
10200	10250	8.888577487795171
10250	10300	9.589131284139393
10300	10350	10.43491243090502
10350	10400	9.385066422411063
10400	10450	8.691345902803402
10450	10500	7.5961112807653866
10500	10550	7.860264431827675
10550	10600	8.401829097808482
10600	10650	8.73221643449842
10650	10700	8.501864456039991
10700	10750	7.981038640236854
10750	10800	7.653507833345954
10800	10850	8.007867627904982
