distance_start_bp	distance_end_bp	UPAL021_R
0	50	132648822
50	100	220946722
100	150	302333531
150	200	350887876
200	250	365658292
250	300	380072960
300	350	401269995
350	400	400520321
400	450	391212744
450	500	378722304
500	550	357177399
550	600	339430173
600	650	315749048
650	700	286707211
700	750	267912099
750	800	249950549
800	850	232523319
850	900	212230683
900	950	195981945
950	1000	187988200
1000	1050	184297107
1050	1100	178575303
1100	1150	167724596
1150	1200	155423717
1200	1250	147428896
1250	1300	146852828
1300	1350	147140872
1350	1400	140421916
1400	1450	131011514
1450	1500	123876448
1500	1550	122909692
1550	1600	121449962
1600	1650	115030895
1650	1700	108513465
1700	1750	101127135
1750	1800	98389178
1800	1850	93658957
1850	1900	87927360
1900	1950	83466404
1950	2000	81067986
2000	2050	78756981
2050	2100	75528335
2100	2150	73342692
2150	2200	70354008
2200	2250	67666362
2250	2300	65049358
2300	2350	64071188
2350	2400	62852677
2400	2450	60213773
2450	2500	56705370
2500	2550	54629496
2550	2600	53471740
2600	2650	51549293
2650	2700	49087921
2700	2750	47597328
2750	2800	46254246
2800	2850	45366284
2850	2900	44040341
2900	2950	42871542
2950	3000	41017124
3000	3050	39256178
3050	3100	37691672
3100	3150	36229690
3150	3200	34527081
3200	3250	34243060
3250	3300	33459364
3300	3350	32012872
3350	3400	31090126
3400	3450	29990382
3450	3500	28691362
3500	3550	27101398
3550	3600	26017781
3600	3650	25341669
3650	3700	25090497
3700	3750	24342962
3750	3800	23350353
3800	3850	22344567
3850	3900	21328607
3900	3950	20566158
3950	4000	19767444
4000	4050	19152787
4050	4100	18819020
4100	4150	18447892
4150	4200	17947478
4200	4250	17505608
4250	4300	17190295
4300	4350	16696901
4350	4400	16274523
4400	4450	15657029
4450	4500	14983272
4500	4550	14557534
4550	4600	14146660
4600	4650	13809727
4650	4700	13384837
4700	4750	12808059
4750	4800	12350176
4800	4850	12011888
4850	4900	11616151
4900	4950	11140365
4950	5000	10469508
5000	5050	10097584
5050	5100	9741223
5100	5150	9492664
5150	5200	9283827
5200	5250	9161228
5250	5300	8979317
5300	5350	8648753
5350	5400	8323681
5400	5450	7984750
5450	5500	7832137
5500	5550	7736011
5550	5600	7612004
5600	5650	7205579
5650	5700	6924897
5700	5750	6756610
5750	5800	6659196
5800	5850	6709794
5850	5900	6745647
5900	5950	6677289
5950	6000	6500198
6000	6050	6388131
6050	6100	6332069
6100	6150	6381008
6150	6200	6029410
6200	6250	5702224
6250	6300	5560069
6300	6350	5455239
6350	6400	5745301
6400	6450	5812947
6450	6500	5859286
6500	6550	5643741
6550	6600	5416343
6600	6650	5331559
6650	6700	5972031
6700	6750	6166080
6750	6800	5862626
6800	6850	5343873
6850	6900	4919204
6900	6950	4438879
6950	7000	3920453
7000	7050	3352667
7050	7100	3170676
7100	7150	3057076
7150	7200	2944302
7200	7250	2967941
7250	7300	3084233
7300	7350	3158963
7350	7400	3063844
7400	7450	2911783
7450	7500	2740268
7500	7550	2687065
7550	7600	2590112
7600	7650	2481964
7650	7700	2448812
7700	7750	2456880
7750	7800	2462329
7800	7850	2410912
7850	7900	2353003
7900	7950	2279647
7950	8000	2252175
8000	8050	2241863
8050	8100	2166207
8100	8150	2083601
8150	8200	1976858
8200	8250	1905249
8250	8300	1879452
8300	8350	1839398
8350	8400	1825132
8400	8450	1767592
8450	8500	1723136
8500	8550	1722455
8550	8600	1757663
8600	8650	1759101
8650	8700	1646107
8700	8750	1497920
8750	8800	1419672
8800	8850	1409874
8850	8900	1395216
8900	8950	1404787
8950	9000	1299410
9000	9050	1259031
9050	9100	1275240
9100	9150	1291889
9150	9200	1248335
9200	9250	1198365
9250	9300	1215888
9300	9350	1193435
9350	9400	1138719
9400	9450	1123250
9450	9500	1058711
9500	9550	986656
9550	9600	1012512
9600	9650	1043315
9650	9700	1003566
9700	9750	979747
9750	9800	969751
9800	9850	995176
9850	9900	977468
9900	9950	947442
9950	10000	901697
10000	10050	883519
10050	10100	871255
10100	10150	850448
10150	10200	842488
10200	10250	824049
10250	10300	824837
10300	10350	802892
10350	10400	733258
10400	10450	680417
10450	10500	640768
10500	10550	668383
10550	10600	678263
10600	10650	676276
10650	10700	617295
10700	10750	581299
10750	10800	534476
10800	10850	483954
10850	10900	465892
10900	10950	439298
10950	11000	491601
11000	11050	470287
11050	11100	464401
11100	11150	479974
11150	11200	504741
11200	11250	505334
11250	11300	480876
11300	11350	439460
11350	11400	416771
11400	11450	425554
11450	11500	407824
11500	11550	424836
11550	11600	407921
11600	11650	361277
11650	11700	298137
11700	11750	282496
11750	11800	277996
11800	11850	277596
11850	11900	275898
11900	11950	290559
11950	12000	290643
12000	12050	283631
12050	12100	266927
12100	12150	258194
12150	12200	258791
12200	12250	248412
12250	12300	243260
12300	12350	227830
12350	12400	224574
12400	12450	219814
12450	12500	209618
12500	12550	212623
12550	12600	209334
12600	12650	210941
12650	12700	202178
12700	12750	183705
12750	12800	166048
12800	12850	166607
12850	12900	164352
12900	12950	157702
12950	13000	153123
13000	13050	154808
13050	13100	155706
13100	13150	158512
13150	13200	154194
13200	13250	145986
13250	13300	151524
13300	13350	161392
13350	13400	162445
13400	13450	158394
13450	13500	155506
13500	13550	156253
13550	13600	152938
13600	13650	135730
13650	13700	123121
13700	13750	132188
13750	13800	134523
13800	13850	130326
13850	13900	117169
13900	13950	105279
13950	14000	99011
14000	14050	97189
14050	14100	102141
14100	14150	99976
14150	14200	90708
14200	14250	83178
14250	14300	78373
14300	14350	78067
14350	14400	74561
14400	14450	74838
14450	14500	83324
14500	14550	101451
14550	14600	111908
14600	14650	113859
14650	14700	120014
14700	14750	126929
14750	14800	132299
14800	14850	132238
14850	14900	137335
14900	14950	137247
14950	15000	133931
