distance_start_bp	distance_end_bp	UPAL021_R
0	50	14495
50	100	14495
100	150	14495
150	200	14495
200	250	14495
250	300	14495
300	350	14495
350	400	14495
400	450	14495
450	500	14495
500	550	14495
550	600	14352
600	650	13933
650	700	13679
700	750	13392
750	800	13095
800	850	12741
850	900	12377
900	950	12019
950	1000	11734
1000	1050	11481
1050	1100	11275
1100	1150	11037
1150	1200	10836
1200	1250	10662
1250	1300	10476
1300	1350	10310
1350	1400	10130
1400	1450	9949
1450	1500	9758
1500	1550	9563
1550	1600	9351
1600	1650	9135
1650	1700	8940
1700	1750	8725
1750	1800	8509
1800	1850	8315
1850	1900	8119
1900	1950	7918
1950	2000	7702
2000	2050	7544
2050	2100	7362
2100	2150	7177
2150	2200	6994
2200	2250	6817
2250	2300	6647
2300	2350	6487
2350	2400	6352
2400	2450	6200
2450	2500	6065
2500	2550	5907
2550	2600	5774
2600	2650	5641
2650	2700	5507
2700	2750	5375
2750	2800	5251
2800	2850	5123
2850	2900	5013
2900	2950	4890
2950	3000	4769
3000	3050	4641
3050	3100	4534
3100	3150	4436
3150	3200	4339
3200	3250	4227
3250	3300	4116
3300	3350	4019
3350	3400	3917
3400	3450	3814
3450	3500	3725
3500	3550	3640
3550	3600	3564
3600	3650	3478
3650	3700	3408
3700	3750	3315
3750	3800	3254
3800	3850	3163
3850	3900	3084
3900	3950	3016
3950	4000	2945
4000	4050	2871
4050	4100	2806
4100	4150	2750
4150	4200	2680
4200	4250	2621
4250	4300	2547
4300	4350	2492
4350	4400	2425
4400	4450	2377
4450	4500	2319
4500	4550	2267
4550	4600	2211
4600	4650	2162
4650	4700	2110
4700	4750	2059
4750	4800	2005
4800	4850	1945
4850	4900	1894
4900	4950	1846
4950	5000	1809
5000	5050	1767
5050	5100	1724
5100	5150	1685
5150	5200	1646
5200	5250	1605
5250	5300	1561
5300	5350	1533
5350	5400	1500
5400	5450	1462
5450	5500	1424
5500	5550	1401
5550	5600	1364
5600	5650	1329
5650	5700	1290
5700	5750	1260
5750	5800	1235
5800	5850	1206
5850	5900	1184
5900	5950	1155
5950	6000	1127
6000	6050	1101
6050	6100	1081
6100	6150	1062
6150	6200	1032
6200	6250	1012
6250	6300	990
6300	6350	970
6350	6400	950
6400	6450	923
6450	6500	902
6500	6550	879
6550	6600	856
6600	6650	834
6650	6700	821
6700	6750	804
6750	6800	788
6800	6850	767
6850	6900	744
6900	6950	718
6950	7000	696
7000	7050	679
7050	7100	666
7100	7150	648
7150	7200	638
7200	7250	626
7250	7300	613
7300	7350	598
7350	7400	585
7400	7450	576
7450	7500	565
7500	7550	554
7550	7600	550
7600	7650	543
7650	7700	527
7700	7750	512
7750	7800	506
7800	7850	493
7850	7900	481
7900	7950	471
7950	8000	456
8000	8050	446
8050	8100	435
8100	8150	427
8150	8200	418
8200	8250	411
8250	8300	401
8300	8350	394
8350	8400	391
8400	8450	385
8450	8500	375
8500	8550	365
8550	8600	361
8600	8650	357
8650	8700	349
8700	8750	340
8750	8800	333
8800	8850	321
8850	8900	312
8900	8950	306
8950	9000	303
9000	9050	298
9050	9100	295
9100	9150	287
9150	9200	281
9200	9250	276
9250	9300	269
9300	9350	264
9350	9400	256
9400	9450	253
9450	9500	247
9500	9550	246
9550	9600	242
9600	9650	235
9650	9700	231
9700	9750	228
9750	9800	226
9800	9850	224
9850	9900	218
9900	9950	213
9950	10000	211
10000	10050	209
10050	10100	206
10100	10150	199
10150	10200	197
10200	10250	194
10250	10300	192
10300	10350	189
10350	10400	187
10400	10450	186
10450	10500	184
10500	10550	182
10550	10600	181
10600	10650	175
10650	10700	174
10700	10750	172
10750	10800	168
10800	10850	164
10850	10900	160
10900	10950	155
10950	11000	153
11000	11050	150
11050	11100	146
11100	11150	141
11150	11200	137
11200	11250	136
11250	11300	135
11300	11350	134
11350	11400	133
11400	11450	133
11450	11500	129
11500	11550	126
11550	11600	123
11600	11650	121
11650	11700	117
11700	11750	113
11750	11800	111
11800	11850	110
11850	11900	110
11900	11950	106
11950	12000	104
12000	12050	102
12050	12100	102
12100	12150	99
12150	12200	97
12200	12250	95
12250	12300	94
12300	12350	93
12350	12400	91
12400	12450	91
12450	12500	90
12500	12550	87
12550	12600	86
12600	12650	84
12650	12700	83
12700	12750	83
12750	12800	81
12800	12850	78
12850	12900	78
12900	12950	77
12950	13000	76
13000	13050	74
13050	13100	74
13100	13150	71
13150	13200	70
13200	13250	69
13250	13300	67
13300	13350	66
13350	13400	66
13400	13450	65
13450	13500	64
13500	13550	63
13550	13600	62
13600	13650	60
13650	13700	60
13700	13750	59
13750	13800	57
13800	13850	56
13850	13900	55
13900	13950	54
13950	14000	54
14000	14050	53
14050	14100	51
14100	14150	50
14150	14200	50
14200	14250	48
14250	14300	47
14300	14350	45
14350	14400	44
14400	14450	43
14450	14500	42
14500	14550	42
14550	14600	42
14600	14650	42
14650	14700	42
14700	14750	41
14750	14800	40
14800	14850	40
14850	14900	40
14900	14950	40
14950	15000	40
