distance_start_bp	distance_end_bp	UPAL021_R
0	50	0.5077885261683295
50	100	0.6726271547181683
100	150	0.8641738678947251
150	200	0.9960101119419871
200	250	1.063627639798814
250	300	1.106039749692706
300	350	1.1320718689403548
350	400	1.1502405551388877
400	450	1.1752202341656388
450	500	1.191871833738953
500	550	1.188031562406845
550	600	1.1811855037549954
600	650	1.1941184535376501
650	700	1.1929465802523
700	750	1.190826319332214
750	800	1.1875107593034984
800	850	1.1912176601040094
850	900	1.1946560160938202
900	950	1.2057417597320195
950	1000	1.2153287167951834
1000	1050	1.2281137104452704
1050	1100	1.2285692375415096
1100	1150	1.2327370435832026
1150	1200	1.2315005248692694
1200	1250	1.231067594098303
1250	1300	1.2368339224911002
1300	1350	1.236901529213798
1350	1400	1.2352161402823625
1400	1450	1.2332404254267673
1450	1500	1.2335747100115808
1500	1550	1.2295058194324688
1550	1600	1.22606698557159
1600	1650	1.2295019738488395
1650	1700	1.227490204476663
1700	1750	1.2287070233526318
1750	1800	1.2330988826167917
1800	1850	1.2385571935174695
1850	1900	1.2455196716080303
1900	1950	1.2459827202489895
1950	2000	1.2490883381843596
2000	2050	1.238813843574203
2050	2100	1.237690415202653
2100	2150	1.2394177825572636
2150	2200	1.2375832269807108
2200	2250	1.239353685729157
2250	2300	1.2509042262142267
2300	2350	1.255597173877937
2350	2400	1.254824487804857
2400	2450	1.2562616716299608
2450	2500	1.253946320953158
2500	2550	1.2615562728752243
2550	2600	1.2563892643147516
2600	2650	1.2508191885522142
2650	2700	1.256059199100571
2700	2750	1.263435925059496
2750	2800	1.260235578780848
2800	2850	1.2634078741674717
2850	2900	1.2552627297854326
2900	2950	1.2520508379146975
2950	3000	1.2509959610050843
3000	3050	1.2487391591099695
3050	3100	1.2458247768315829
3100	3150	1.2361683456713641
3150	3200	1.2263947382767824
3200	3250	1.2350685307883993
3250	3300	1.2511670836418054
3300	3350	1.2601622252797287
3350	3400	1.266277257626316
3400	3450	1.268386622640154
3450	3500	1.2614668456733988
3500	3550	1.2640379189962407
3550	3600	1.2654362781559148
3600	3650	1.272978828605517
3650	3700	1.2701166098181154
3700	3750	1.2670267742339971
3750	3800	1.253657499506631
3800	3850	1.2558258859513083
3850	3900	1.263339329764579
3900	3950	1.2630144734796382
3950	4000	1.2645610043834963
4000	4050	1.26956472807268
4050	4100	1.2677696525543791
4100	4150	1.2618365975157804
4150	4200	1.2723733813702216
4200	4250	1.2595340427677166
4250	4300	1.2693329719247488
4300	4350	1.2606198974078444
4350	4400	1.2688840885560613
4400	4450	1.2572808316100679
4450	4500	1.2582377429132954
4500	4550	1.2509732282547046
4550	4600	1.2554715211243521
4600	4650	1.258738956887909
4650	4700	1.263267904357171
4700	4750	1.2477374221680926
4750	4800	1.2439966998170608
4800	4850	1.25131154358244
4850	4900	1.2576590319726197
4900	4950	1.2627644519068966
4950	5000	1.2660182591429447
5000	5050	1.2651916707775641
5050	5100	1.2730473488454952
5100	5150	1.2739677555055857
5150	5200	1.2531450676947546
5200	5250	1.2591927698906973
5250	5300	1.267280121142614
5300	5350	1.250588616859131
5350	5400	1.2457279966555488
5400	5450	1.2444687770792522
5450	5500	1.2650968045653088
5500	5550	1.2663687200190814
5550	5600	1.254870476079681
5600	5650	1.2409494581131675
5650	5700	1.236425525266819
5700	5750	1.2423088447712718
5750	5800	1.2409384463235609
5800	5850	1.2560604387408472
5850	5900	1.2500436558037082
5900	5950	1.2407419479040867
5950	6000	1.2336064134529252
6000	6050	1.2433974061697612
6050	6100	1.2444448312907197
6100	6150	1.2605784187552997
6150	6200	1.2910125703464423
6200	6250	1.2869762077589362
6250	6300	1.2817541322991854
6300	6350	1.259125489819354
6350	6400	1.2608117890301747
6400	6450	1.2730517025875263
6450	6500	1.2657732233768568
6500	6550	1.2529742103007777
6550	6600	1.2493913069570974
6600	6650	1.2452208238559703
6650	6700	1.2314498191132002
6700	6750	1.2445838385622736
6750	6800	1.2280770729893626
6800	6850	1.2038236404041127
6850	6900	1.2060645615700993
6900	6950	1.2307133235655068
6950	7000	1.2549086464629808
7000	7050	1.2613913514740656
7050	7100	1.2497569150820411
7100	7150	1.2652397079264224
7150	7200	1.2509331961116557
7200	7250	1.2491705925752339
7250	7300	1.2609191604798313
7300	7350	1.2862642557590964
7350	7400	1.265939984979593
7400	7450	1.2435664434375049
7450	7500	1.2588584866157533
7500	7550	1.2616501206893755
7550	7600	1.245125757120631
7600	7650	1.2087594154021786
7650	7700	1.2513100960939232
7700	7750	1.2810161236017308
7750	7800	1.2682176325743701
7800	7850	1.2331563751800143
7850	7900	1.2565187801636932
7900	7950	1.2346494400157737
7950	8000	1.2375863442757855
8000	8050	1.2226952606904036
8050	8100	1.236730562835388
8100	8150	1.2356328456076986
8150	8200	1.2303296033087505
8200	8250	1.1890180746540457
8250	8300	1.2224238799203688
8300	8350	1.2528357284535703
8350	8400	1.2125237122572774
8400	8450	1.2074546538794155
8450	8500	1.230356419951704
8500	8550	1.2565299336597877
8550	8600	1.2431793998467924
8600	8650	1.2180462100698837
8650	8700	1.2212753542263215
8700	8750	1.245730628184777
8750	8800	1.2279861501102278
8800	8850	1.238773428441267
8850	8900	1.2253894751728964
8900	8950	1.2232807006600332
8950	9000	1.188812368835958
9000	9050	1.1542533727083644
9050	9100	1.148504728918659
9100	9150	1.177034262196069
9150	9200	1.202552739586939
9200	9250	1.1972521715329172
9250	9300	1.2351226031622389
9300	9350	1.214163239727689
9350	9400	1.2117149338297182
9400	9450	1.1531468739386024
9450	9500	1.136355227053771
9500	9550	1.1211610409347448
9550	9600	1.148239983381204
9600	9650	1.1777533063668821
9650	9700	1.1496625802497182
9700	9750	1.1351969305216119
9750	9800	1.1224569603608447
9800	9850	1.1553416548844366
9850	9900	1.1659942578040434
9900	9950	1.1810928905153666
9950	10000	1.153765033464627
10000	10050	1.10469903085862
10050	10100	1.094404180562951
10100	10150	1.0959728267845885
10150	10200	1.0986042368058833
10200	10250	1.1169794797841361
10250	10300	1.1155064690817076
10300	10350	1.1090477648934196
10350	10400	1.118956403177453
10400	10450	1.1488634795731913
