distance_start_bp	distance_end_bp	UPAL021_R
0	50	0.4688335786779467
50	100	0.61694490077587
100	150	0.8067376588814961
150	200	0.9649709529107043
200	250	1.0681447544879155
250	300	1.1370286874867757
300	350	1.1812131600180231
350	400	1.209156533163011
400	450	1.2379868118101631
450	500	1.2577984055234015
500	550	1.2554076001622765
550	600	1.2468011298869814
600	650	1.2662128035268074
650	700	1.2635014067891082
700	750	1.2633299024086806
750	800	1.2551295635855306
800	850	1.2628571705562726
850	900	1.2665405357029957
900	950	1.2831636293835027
950	1000	1.2898199035767886
1000	1050	1.3021652496809568
1050	1100	1.3019151548955727
1100	1150	1.307228690270917
1150	1200	1.3088988003954438
1200	1250	1.3031310080249017
1250	1300	1.2980569871990857
1300	1350	1.293574504464829
1350	1400	1.2853962631367088
1400	1450	1.2904287714265166
1450	1500	1.2952695898105957
1500	1550	1.2902406666889912
1550	1600	1.2794830808286928
1600	1650	1.2831567427671493
1650	1700	1.2760572584500474
1700	1750	1.2744985615886615
1750	1800	1.2795771262535733
1800	1850	1.2795866393639503
1850	1900	1.2798573763778243
1900	1950	1.2787155218253905
1950	2000	1.278040450504032
2000	2050	1.280152082058036
2050	2100	1.2845924986515467
2100	2150	1.2808122041750993
2150	2200	1.2811140494907034
2200	2250	1.2700752387635188
2250	2300	1.2763875959254598
2300	2350	1.2802754773389091
2350	2400	1.2739448698847775
2400	2450	1.2799754260662346
2450	2500	1.2858274503781875
2500	2550	1.2870148134015005
2550	2600	1.2871735472362238
2600	2650	1.281365805413941
2650	2700	1.2741232833903624
2700	2750	1.2829865531348013
2750	2800	1.288202714210394
2800	2850	1.2909369091423415
2850	2900	1.2771364788519635
2900	2950	1.2655709926754954
2950	3000	1.2704702672536117
3000	3050	1.272869216446976
3050	3100	1.268881830042686
3100	3150	1.2596305758428357
3150	3200	1.2492260881625998
3200	3250	1.2489410407498063
3250	3300	1.2616425032171823
3300	3350	1.269123819563213
3350	3400	1.2751867697613328
3400	3450	1.2708531641681666
3450	3500	1.268471394316726
3500	3550	1.2660459218226694
3550	3600	1.2635691946371557
3600	3650	1.2723021582787906
3650	3700	1.2788948281750452
3700	3750	1.2793725099955997
3750	3800	1.2717875931943154
3800	3850	1.2732975957746937
3850	3900	1.27910930286626
3900	3950	1.2631106396567597
3950	4000	1.25579076216432
4000	4050	1.257219570474557
4050	4100	1.2550023010644038
4100	4150	1.2362895129253293
4150	4200	1.2531391213516285
4200	4250	1.2459048673510418
4250	4300	1.2598863847530353
4300	4350	1.240939011333202
4350	4400	1.2466891541482328
