distance_start_bp	distance_end_bp	UPAL021_R
0	50	2462322
50	100	3961975
100	150	5749564
150	200	6909336
200	250	7600844
250	300	8037490
300	350	8484898
350	400	8382673
400	450	8267626
450	500	7809818
500	550	7118651
550	600	6932348
600	650	6503817
650	700	5780744
700	750	5486555
750	800	5081319
800	850	4852342
850	900	4351081
900	950	4178201
950	1000	3829316
1000	1050	3681937
1050	1100	3509474
1100	1150	3437366
1150	1200	3241712
1200	1250	3016269
1250	1300	2964816
1300	1350	2995067
1350	1400	2939464
1400	1450	2644406
1450	1500	2513155
1500	1550	2366491
1550	1600	2485326
1600	1650	2349343
1650	1700	2236384
1700	1750	2095037
1750	1800	1976931
1800	1850	1906101
1850	1900	1796928
1900	1950	1689996
1950	2000	1614924
2000	2050	1583323
2050	2100	1539368
2100	2150	1497328
2150	2200	1454000
2200	2250	1377204
2250	2300	1320431
2300	2350	1301559
2350	2400	1273902
2400	2450	1230920
2450	2500	1154569
2500	2550	1124089
2550	2600	1085977
2600	2650	1038758
2650	2700	977889
2700	2750	960013
2750	2800	937450
2800	2850	919504
2850	2900	896455
2900	2950	874198
2950	3000	840206
3000	3050	800136
3050	3100	762326
3100	3150	732713
3150	3200	701942
3200	3250	690992
3250	3300	678817
3300	3350	666501
3350	3400	633870
3400	3450	606040
3450	3500	577518
3500	3550	550228
3550	3600	536888
3600	3650	513145
3650	3700	506996
3700	3750	494793
3750	3800	475586
3800	3850	450683
3850	3900	435655
3900	3950	419573
3950	4000	404052
4000	4050	385616
4050	4100	384153
4100	4150	372569
4150	4200	365639
4200	4250	354093
4250	4300	348958
4300	4350	336130
4350	4400	327232
4400	4450	315461
4450	4500	305843
4500	4550	298127
4550	4600	284805
4600	4650	280315
4650	4700	271889
4700	4750	259703
4750	4800	252009
4800	4850	248365
4850	4900	236125
4900	4950	226704
4950	5000	213200
5000	5050	206436
5050	5100	197752
5100	5150	192492
5150	5200	187722
5200	5250	186545
5250	5300	182768
5300	5350	175930
5350	5400	170141
5400	5450	161485
5450	5500	159733
5500	5550	157613
5550	5600	153998
5600	5650	145351
5650	5700	139972
5700	5750	137623
5750	5800	134429
5800	5850	135679
5850	5900	136020
5900	5950	136392
5950	6000	130960
6000	6050	128153
6050	6100	127170
6100	6150	128686
6150	6200	120292
6200	6250	114912
6250	6300	116416
6300	6350	112010
6350	6400	112481
6400	6450	115924
6450	6500	118268
6500	6550	112385
6550	6600	110162
6600	6650	107937
6650	6700	117309
6700	6750	119820
6750	6800	119933
6800	6850	110962
6850	6900	105185
6900	6950	93253
6950	7000	83633
7000	7050	68408
7050	7100	65730
7100	7150	61935
7150	7200	60660
7200	7250	58146
7250	7300	61001
7300	7350	64337
7350	7400	61607
7400	7450	59910
7450	7500	56287
7500	7550	54599
7550	7600	53254
7600	7650	51352
7650	7700	49136
7700	7750	50025
7750	7800	50035
7800	7850	49501
7850	7900	47385
7900	7950	46123
7950	8000	45939
8000	8050	45857
8050	8100	43639
8100	8150	42109
8150	8200	40606
8200	8250	38768
8250	8300	38806
8300	8350	36754
8350	8400	36263
8400	8450	36155
8450	8500	33625
8500	8550	34083
8550	8600	35675
8600	8650	36401
8650	8700	34697
8700	8750	31840
8750	8800	29272
8800	8850	28344
8850	8900	28635
8900	8950	28455
8950	9000	26606
9000	9050	25787
9050	9100	25990
9100	9150	25713
9150	9200	25945
9200	9250	23885
9250	9300	24275
9300	9350	24781
9350	9400	22554
9400	9450	22930
9450	9500	21264
9500	9550	19695
9550	9600	20197
9600	9650	20564
9650	9700	18987
9700	9750	20065
9750	9800	19555
9800	9850	21369
9850	9900	19875
9900	9950	19265
9950	10000	18542
10000	10050	17947
10050	10100	16458
10100	10150	17160
10150	10200	17016
10200	10250	17536
10250	10300	17122
10300	10350	16332
10350	10400	15210
10400	10450	13597
10450	10500	13152
10500	10550	13245
10550	10600	13645
10600	10650	13505
10650	10700	13089
10700	10750	12022
10750	10800	10859
10800	10850	9815
10850	10900	9381
10900	10950	8813
10950	11000	9714
11000	11050	9811
11050	11100	9300
11100	11150	9091
11150	11200	9551
11200	11250	10205
11250	11300	10446
11300	11350	9268
11350	11400	8792
11400	11450	8477
11450	11500	8058
11500	11550	8440
11550	11600	8554
11600	11650	7303
11650	11700	5911
11700	11750	5741
11750	11800	5589
11800	11850	5472
11850	11900	5660
11900	11950	5764
11950	12000	6255
12000	12050	5848
12050	12100	5452
12100	12150	4905
12150	12200	5115
12200	12250	4938
12250	12300	4998
12300	12350	4748
12350	12400	4883
12400	12450	4397
12450	12500	4374
12500	12550	4224
12550	12600	4148
12600	12650	4245
12650	12700	4231
12700	12750	3905
12750	12800	3582
12800	12850	3338
12850	12900	3336
12900	12950	3098
12950	13000	3071
13000	13050	3121
13050	13100	3041
13100	13150	3158
13150	13200	3218
13200	13250	2919
13250	13300	2995
13300	13350	3201
13350	13400	3124
13400	13450	3234
13450	13500	3051
13500	13550	2969
13550	13600	3132
13600	13650	2757
13650	13700	2663
13700	13750	2732
13750	13800	2793
13800	13850	2391
13850	13900	2336
13900	13950	2202
13950	14000	2017
14000	14050	2110
14050	14100	2043
14100	14150	2034
14150	14200	1840
14200	14250	1685
14250	14300	1598
14300	14350	1561
14350	14400	1498
14400	14450	1463
14450	14500	1570
14500	14550	1934
14550	14600	2071
14600	14650	2227
14650	14700	2473
14700	14750	2447
14750	14800	2536
14800	14850	2633
14850	14900	2719
14900	14950	2855
14950	15000	2477
