distance_start_bp	distance_end_bp	UPAL021_R
0	50	136585197
50	100	232710157
100	150	325056058
150	200	379331468
200	250	395374633
250	300	407101295
300	350	424415249
350	400	416102183
400	450	398434309
450	500	380194789
500	550	357155495
550	600	339385021
600	650	315713076
650	700	286748052
700	750	268077307
750	800	250143690
800	850	232688412
850	900	212345735
900	950	196134931
950	1000	188146394
1000	1050	184446843
1050	1100	178724232
1100	1150	167873661
1150	1200	155616789
1200	1250	147611571
1250	1300	146993448
1300	1350	147047081
1350	1400	141021600
1400	1450	131339874
1450	1500	124065046
1500	1550	123094889
1550	1600	121651804
1600	1650	115222336
1650	1700	108679503
1700	1750	101279175
1750	1800	98533698
1800	1850	93784734
1850	1900	88030056
1900	1950	83587925
1950	2000	81206260
2000	2050	78896781
2050	2100	75661065
2100	2150	73474488
2150	2200	70537841
2200	2250	67891358
2250	2300	65307684
2300	2350	64350883
2350	2400	63102828
2400	2450	60432608
2450	2500	56924788
2500	2550	54844295
2550	2600	53676889
2600	2650	51740160
2650	2700	49276176
2700	2750	47795491
2750	2800	46459524
2800	2850	45598193
2850	2900	44277232
2900	2950	43089359
2950	3000	41209517
3000	3050	39438675
3050	3100	37864987
3100	3150	36424862
3150	3200	34731725
3200	3250	34453036
3250	3300	33660046
3300	3350	32205420
3350	3400	31269565
3400	3450	30163619
3450	3500	28863592
3500	3550	27254883
3550	3600	26156184
3600	3650	25491139
3650	3700	25238514
3700	3750	24482038
3750	3800	23480242
3800	3850	22463677
3850	3900	21448506
3900	3950	20679975
3950	4000	19887015
4000	4050	19277097
4050	4100	18936439
4100	4150	18547227
4150	4200	18031621
4200	4250	17590081
4250	4300	17275297
4300	4350	16777435
4350	4400	16331240
4400	4450	15716532
4450	4500	15040937
4500	4550	14611298
4550	4600	14196546
4600	4650	13860357
4650	4700	13441395
4700	4750	12866374
4750	4800	12404824
4800	4850	12068973
4850	4900	11674222
4900	4950	11193052
4950	5000	10515075
5000	5050	10143283
5050	5100	9793724
5100	5150	9547814
5150	5200	9337972
5200	5250	9210901
5250	5300	9027161
5300	5350	8694443
5350	5400	8392811
5400	5450	8078359
5450	5500	7901940
5500	5550	7782605
5550	5600	7648171
5600	5650	7240281
5650	5700	6962713
5700	5750	6794119
5750	5800	6695584
5800	5850	6744847
5850	5900	6783933
5900	5950	6713432
5950	6000	6533455
6000	6050	6418574
6050	6100	6361883
6100	6150	6410591
6150	6200	6064501
6200	6250	5738219
6250	6300	5595065
6300	6350	5487468
6350	6400	5774577
6400	6450	5840208
6450	6500	5885225
6500	6550	5670737
6550	6600	5442045
6600	6650	5358652
6650	6700	5998638
6700	6750	6191735
6750	6800	5889526
6800	6850	5370620
6850	6900	4947999
6900	6950	4466867
6950	7000	3950190
7000	7050	3377740
7050	7100	3192421
7100	7150	3076226
7150	7200	2963502
7200	7250	2987402
7250	7300	3106562
7300	7350	3181841
7350	7400	3085620
7400	7450	2931513
7450	7500	2759739
7500	7550	2704911
7550	7600	2608469
7600	7650	2501614
7650	7700	2469878
7700	7750	2478638
7750	7800	2482650
7800	7850	2428536
