distance_start_bp	distance_end_bp	UPAL021_R
0	50	132620132
50	100	220932042
100	150	302319244
150	200	350877866
200	250	365648313
250	300	380088150
300	350	401281374
350	400	400474186
400	450	391230226
450	500	378667239
500	550	357051808
550	600	339218243
600	650	315479841
650	700	286458475
700	750	267697315
750	800	249751281
800	850	232317407
850	900	211968265
900	950	195699717
950	1000	187715985
1000	1050	184022531
1050	1100	178312350
1100	1150	167441847
1150	1200	155132781
1200	1250	147155890
1250	1300	146564442
1300	1350	146641913
1350	1400	140578045
1400	1450	130890255
1450	1500	123661319
1500	1550	122753910
1550	1600	121317769
1600	1650	114889146
1650	1700	108355699
1700	1750	100985367
1750	1800	98255607
1800	1850	93533584
1850	1900	87841873
1900	1950	83416376
1950	2000	81027334
2000	2050	78716095
2050	2100	75484141
2100	2150	73290934
2150	2200	70298487
2200	2250	67605332
2250	2300	65021106
2300	2350	64065540
2350	2400	62812251
2400	2450	60141685
2450	2500	56650553
2500	2550	54592625
2550	2600	53442588
2600	2650	51517583
2650	2700	49053217
2700	2750	47562608
2750	2800	46219638
2800	2850	45332004
2850	2900	44008628
2900	2950	42838278
2950	3000	40986393
3000	3050	39225743
3050	3100	37656566
3100	3150	36191573
3150	3200	34491610
3200	3250	34207967
3250	3300	33426670
3300	3350	31978682
3350	3400	31056335
3400	3450	29954449
3450	3500	28652974
3500	3550	27060488
3550	3600	25969011
3600	3650	25276975
3650	3700	25014807
3700	3750	24260689
3750	3800	23267221
3800	3850	22249916
3850	3900	21233680
3900	3950	20467196
3950	4000	19676565
4000	4050	19071178
4050	4100	18743333
4100	4150	18366053
4150	4200	17864017
4200	4250	17434616
4250	4300	17116347
4300	4350	16610630
4350	4400	16184389
4400	4450	15572259
4450	4500	14893925
4500	4550	14464607
4550	4600	14056725
4600	4650	13724827
4650	4700	13302232
4700	4750	12726776
4750	4800	12272026
4800	4850	11935629
4850	4900	11546513
4900	4950	11073283
4950	5000	10406428
5000	5050	10032860
5050	5100	9676319
5100	5150	9425215
5150	5200	9223138
5200	5250	9095852
5250	5300	8918209
5300	5350	8592072
5350	5400	8275705
5400	5450	7938290
5450	5500	7778746
5500	5550	7675140
5550	5600	7548725
5600	5650	7154657
5650	5700	6875182
5700	5750	6696233
5750	5800	6602814
5800	5850	6667379
5850	5900	6718122
5900	5950	6652624
5950	6000	6477263
6000	6050	6364861
6050	6100	6307745
6100	6150	6355073
6150	6200	6006285
6200	6250	5680437
6250	6300	5542074
6300	6350	5435632
6350	6400	5726095
6400	6450	5792101
6450	6500	5840988
6500	6550	5626981
6550	6600	5396945
6600	6650	5310296
6650	6700	5951002
6700	6750	6147563
6750	6800	5843891
6800	6850	5322860
6850	6900	4898031
6900	6950	4417311
6950	7000	3900110
7000	7050	3330406
7050	7100	3147397
7100	7150	3031962
7150	7200	2917134
7200	7250	2942779
7250	7300	3063429
7300	7350	3139285
7350	7400	3045025
7400	7450	2895698
7450	7500	2730490
7500	7550	2681667
7550	7600	2583696
7600	7650	2475975
7650	7700	2436973
7700	7750	2441184
7750	7800	2444128
7800	7850	2394427
7850	7900	2338488
7900	7950	2264284
7950	8000	2234294
8000	8050	2223224
8050	8100	2147825
8100	8150	2065949
8150	8200	1959258
8200	8250	1888028
8250	8300	1862192
8300	8350	1824560
8350	8400	1813205
8400	8450	1755271
8450	8500	1711732
8500	8550	1711041
8550	8600	1746539
8600	8650	1745363
8650	8700	1631300
8700	8750	1480011
8750	8800	1400469
8800	8850	1392674
8850	8900	1381234
8900	8950	1393635
8950	9000	1288798
9000	9050	1248005
9050	9100	1262039
9100	9150	1278217
9150	9200	1233901
9200	9250	1184437
9250	9300	1200049
9300	9350	1178685
9350	9400	1124729
9400	9450	1112657
9450	9500	1046946
9500	9550	976711
9550	9600	1000786
9600	9650	1031452
9650	9700	990756
9700	9750	964874
9750	9800	952663
9800	9850	977034
9850	9900	962331
9900	9950	935654
9950	10000	888411
10000	10050	870439
10050	10100	857927
10100	10150	838852
10150	10200	830911
10200	10250	811931
10250	10300	811038
10300	10350	786536
10350	10400	719208
10400	10450	668006
10450	10500	630983
10500	10550	658310
10550	10600	666936
10600	10650	665331
10650	10700	606535
10700	10750	571100
10750	10800	525298
10800	10850	474260
