distance_start_bp	distance_end_bp	UPAL021_R
0	50	14145
50	100	14145
100	150	14145
150	200	14145
200	250	14145
250	300	14145
300	350	14145
350	400	14145
400	450	14145
450	500	14145
500	550	14145
550	600	14008
600	650	13596
650	700	13346
700	750	13070
750	800	12781
800	850	12433
850	900	12076
900	950	11725
950	1000	11444
1000	1050	11192
1050	1100	10993
1100	1150	10760
1150	1200	10569
1200	1250	10402
1250	1300	10221
1300	1350	10057
1350	1400	9883
1400	1450	9707
1450	1500	9521
1500	1550	9333
1550	1600	9125
1600	1650	8912
1650	1700	8721
1700	1750	8513
1750	1800	8303
1800	1850	8118
1850	1900	7926
1900	1950	7730
1950	2000	7522
2000	2050	7373
2050	2100	7193
2100	2150	7015
2150	2200	6840
2200	2250	6665
2250	2300	6500
2300	2350	6342
2350	2400	6210
2400	2450	6061
2450	2500	5929
2500	2550	5772
2550	2600	5640
2600	2650	5510
2650	2700	5378
2700	2750	5250
2750	2800	5126
2800	2850	5003
2850	2900	4897
2900	2950	4777
2950	3000	4660
3000	3050	4532
3050	3100	4427
3100	3150	4331
3150	3200	4235
3200	3250	4125
3250	3300	4016
3300	3350	3923
3350	3400	3823
3400	3450	3723
3450	3500	3637
3500	3550	3553
3550	3600	3480
3600	3650	3395
3650	3700	3328
3700	3750	3237
3750	3800	3176
3800	3850	3086
3850	3900	3009
3900	3950	2942
3950	4000	2872
4000	4050	2798
4050	4100	2736
4100	4150	2681
4150	4200	2613
4200	4250	2555
4250	4300	2482
4300	4350	2428
4350	4400	2361
4400	4450	2315
4450	4500	2257
4500	4550	2205
4550	4600	2150
4600	4650	2102
4650	4700	2052
4700	4750	2001
4750	4800	1948
4800	4850	1888
4850	4900	1839
4900	4950	1791
4950	5000	1755
5000	5050	1715
5050	5100	1672
5100	5150	1636
5150	5200	1599
5200	5250	1558
5250	5300	1516
5300	5350	1491
5350	5400	1459
5400	5450	1421
5450	5500	1383
5500	5550	1360
5550	5600	1326
5600	5650	1292
5650	5700	1254
5700	5750	1224
5750	5800	1201
5800	5850	1175
5850	5900	1153
5900	5950	1126
5950	6000	1098
6000	6050	1074
6050	6100	1054
6100	6150	1035
6150	6200	1005
6200	6250	986
6250	6300	964
6300	6350	944
6350	6400	924
6400	6450	897
6450	6500	878
6500	6550	855
6550	6600	832
6600	6650	811
6650	6700	798
6700	6750	781
6750	6800	765
6800	6850	745
6850	6900	722
6900	6950	697
6950	7000	675
7000	7050	659
7050	7100	647
7100	7150	629
7150	7200	619
7200	7250	608
7250	7300	595
7300	7350	580
7350	7400	568
7400	7450	560
7450	7500	549
7500	7550	538
7550	7600	534
7600	7650	527
7650	7700	511
7700	7750	496
7750	7800	490
7800	7850	477
7850	7900	465
7900	7950	455
7950	8000	441
8000	8050	431
8050	8100	420
8100	8150	412
8150	8200	403
8200	8250	397
8250	8300	387
8300	8350	381
8350	8400	378
8400	8450	372
8450	8500	363
8500	8550	353
8550	8600	349
8600	8650	345
8650	8700	337
8700	8750	328
8750	8800	321
8800	8850	309
8850	8900	300
8900	8950	294
8950	9000	291
9000	9050	286
9050	9100	283
9100	9150	276
9150	9200	270
9200	9250	266
9250	9300	259
9300	9350	254
9350	9400	246
9400	9450	243
9450	9500	237
9500	9550	236
9550	9600	232
9600	9650	225
9650	9700	221
9700	9750	218
9750	9800	216
9800	9850	214
9850	9900	208
9900	9950	203
9950	10000	201
10000	10050	200
10050	10100	197
10100	10150	191
10150	10200	189
10200	10250	187
10250	10300	185
10300	10350	182
10350	10400	180
10400	10450	179
10450	10500	177
10500	10550	175
10550	10600	174
10600	10650	168
10650	10700	167
10700	10750	166
10750	10800	162
10800	10850	158
10850	10900	154
10900	10950	149
10950	11000	148
11000	11050	145
11050	11100	141
11100	11150	136
11150	11200	132
11200	11250	131
11250	11300	130
11300	11350	129
11350	11400	128
11400	11450	128
11450	11500	124
11500	11550	121
11550	11600	118
11600	11650	116
11650	11700	112
11700	11750	109
11750	11800	107
11800	11850	106
11850	11900	106
11900	11950	103
11950	12000	101
12000	12050	99
12050	12100	99
12100	12150	97
12150	12200	95
12200	12250	93
12250	12300	92
12300	12350	91
12350	12400	89
12400	12450	89
12450	12500	88
12500	12550	85
12550	12600	84
12600	12650	82
12650	12700	81
12700	12750	81
12750	12800	79
12800	12850	76
12850	12900	76
12900	12950	75
12950	13000	74
13000	13050	73
13050	13100	73
13100	13150	70
13150	13200	69
13200	13250	68
13250	13300	66
13300	13350	65
13350	13400	65
13400	13450	64
13450	13500	63
13500	13550	62
13550	13600	61
13600	13650	59
13650	13700	59
13700	13750	58
13750	13800	56
13800	13850	55
13850	13900	54
13900	13950	53
13950	14000	53
14000	14050	52
14050	14100	50
14100	14150	49
14150	14200	49
14200	14250	47
14250	14300	46
14300	14350	44
14350	14400	43
14400	14450	42
14450	14500	41
14500	14550	41
14550	14600	41
14600	14650	41
14650	14700	41
14700	14750	40
14750	14800	39
14800	14850	39
14850	14900	39
14900	14950	39
14950	15000	39
