distance	count
-100	1478982
-99	30736
-98	27832
-97	24208
-96	24690
-95	24190
-94	23940
-93	22760
-92	23062
-91	22472
-90	21984
-89	21826
-88	21152
-87	20860
-86	20496
-85	20776
-84	19750
-83	19618
-82	19414
-81	18876
-80	19536
-79	18818
-78	18686
-77	18024
-76	17536
-75	17110
-74	16664
-73	16950
-72	16604
-71	16500
-70	16114
-69	15282
-68	15646
-67	15384
-66	14900
-65	14672
-64	14922
-63	14300
-62	13966
-61	13720
-60	13700
-59	13304
-58	12898
-57	13004
-56	12896
-55	12516
-54	12346
-53	12316
-52	11628
-51	11792
-50	11562
-49	11462
-48	11454
-47	11490
-46	10760
-45	10550
-44	10362
-43	10256
-42	10344
-41	10108
-40	9398
-39	9596
-38	9348
-37	9502
-36	9482
-35	8966
-34	8582
-33	8498
-32	8672
-31	8546
-30	8382
-29	8176
-28	7562
-27	7646
-26	7502
-25	7318
-24	7448
-23	7472
-22	6822
-21	6936
-20	7290
-19	6468
-18	6736
-17	6582
-16	6456
-15	6194
-14	6096
-13	6008
-12	5642
-11	5794
-10	5478
-9	5634
-8	5436
-7	5518
-6	5298
-5	5282
-4	5168
-3	4974
-2	4906
-1	4952
0	4784
1	4961
2	4744
3	4530
4	4211
5	4447
6	4437
7	4227
8	4343
9	4115
10	4002
11	3889
12	4143
13	3901
14	3925
15	3859
16	3557
17	3496
18	3462
19	3550
20	3453
21	3753
22	3172
23	3196
24	3258
25	3148
26	3066
27	3028
28	2985
29	2979
30	2891
31	2995
32	2829
33	2731
34	2623
35	2641
36	2560
37	2479
38	2597
39	2593
40	2489
41	2517
42	2426
43	2388
44	2331
45	2348
46	2397
47	2250
48	2204
49	2194
50	2122
51	1941
52	2199
53	1967
54	2030
55	1950
56	2076
57	1953
58	1877
59	1775
60	1885
61	1793
62	1782
63	1770
64	1737
65	1834
66	1655
67	1692
68	1658
69	1644
70	1661
71	1555
72	1552
73	1550
74	1458
75	1570
76	1445
77	1435
78	1522
79	1501
80	1514
81	1645
82	1572
83	1508
84	1541
85	1496
86	1539
87	1444
88	1483
89	1484
90	1394
91	1476
92	1550
93	1561
94	1530
95	1348
96	1591
97	1438
98	1530
99	1456
100	1569
101	1517
102	1556
103	1560
104	1498
105	1451
106	1475
107	1510
108	1854
109	1730
110	1703
111	1667
112	1741
113	1771
114	1926
115	1811
116	1617
117	1600
118	1579
119	1503
120	1586
121	1567
122	1873
123	1865
124	1701
125	1802
126	1701
127	1789
128	1867
129	1881
130	1773
131	1529
132	1558
133	1554
134	1362
135	1658
136	1538
137	1483
138	1575
139	1485
140	1630
141	1708
142	1624
143	1571
144	1688
145	1649
146	1550
147	1445
148	1521
149	1401
150	1385
151	1169
152	1073
153	1085
154	1086
155	1057
156	1211
157	1187
158	1259
159	1058
160	1024
161	1137
162	967
163	990
164	1047
165	960
166	918
167	940
168	830
169	969
170	864
171	920
172	888
173	915
174	750
175	848
176	858
177	843
178	879
179	761
180	928
181	780
182	756
183	766
184	774
185	743
186	742
187	783
188	718
189	663
190	662
191	672
192	669
193	711
194	767
195	655
196	708
197	532
198	621
199	642
200	652
201	682
202	652
203	647
204	639
205	610
206	599
207	627
208	613
209	563
210	548
211	559
212	554
213	543
214	551
215	570
216	489
217	512
218	486
219	537
220	533
221	520
222	425
223	486
224	453
225	448
226	461
227	482
228	470
229	428
230	432
231	378
232	528
233	457
234	482
235	434
236	431
237	483
238	473
239	403
240	482
241	364
242	409
243	408
244	376
245	346
246	382
247	391
248	445
249	388
250	400
251	422
252	351
253	369
254	357
255	342
256	394
257	354
258	347
259	389
260	358
261	428
262	310
263	298
264	322
265	323
266	286
267	297
268	389
269	335
270	318
271	277
272	330
273	266
274	286
275	332
276	317
277	306
278	237
279	272
280	347
281	311
282	325
283	311
284	390
285	364
286	367
287	265
288	294
289	302
290	320
291	267
292	329
293	358
294	312
295	289
296	270
297	251
298	230
299	230
300	274
301	310
302	343
303	252
304	306
305	269
306	309
307	397
308	367
309	296
310	448
311	243
312	295
313	263
314	247
315	325
316	278
317	273
318	431
319	358
320	297
321	466
322	306
323	287
324	228
325	288
326	298
327	279
328	282
329	256
330	258
331	246
332	296
333	327
334	237
335	325
336	298
337	288
338	288
339	303
340	273
341	336
342	277
343	307
344	299
345	279
346	223
347	309
348	283
349	248
350	249
351	260
352	281
353	260
354	281
355	366
356	250
357	229
358	232
359	221
360	216
361	212
362	225
363	173
364	176
365	296
366	244
367	174
368	222
369	291
370	188
371	230
372	160
373	185
374	209
375	224
376	163
377	162
378	177
379	188
380	137
381	153
382	163
383	157
384	126
385	171
386	174
387	176
388	197
389	185
390	180
391	177
392	160
393	146
394	299
395	214
396	355
397	235
398	433
399	298
400	262
401	236
402	332
403	184
404	278
405	174
406	332
407	175
408	233
409	230
410	281
411	171
412	160
413	295
414	219
415	222
416	221
417	312
418	188
419	260
420	233
421	327
422	294
423	274
424	325
425	412
426	305
427	294
428	280
429	273
430	215
431	218
432	228
433	265
434	288
435	245
436	317
437	307
438	268
439	395
440	319
441	356
442	249
443	301
444	346
445	327
446	347
447	306
448	297
449	297
450	392
451	275
452	357
453	306
454	404
455	353
456	398
457	434
458	286
459	218
460	251
461	294
462	343
463	332
464	476
465	346
466	406
467	499
468	459
469	433
470	451
471	316
472	350
473	367
474	271
475	294
476	370
477	354
478	323
479	333
480	320
481	261
482	279
483	429
484	392
485	309
486	287
487	286
488	301
489	304
490	280
491	356
492	247
493	352
494	261
495	221
496	273
497	365
498	295
499	298
500	322
501	263
502	326
503	242
504	311
505	247
506	282
507	233
508	319
509	221
510	202
511	217
512	248
513	181
514	255
515	227
516	284
517	267
518	218
519	239
520	247
521	467
522	440
523	284
524	215
525	246
526	279
527	319
528	243
529	241
530	192
531	193
532	293
533	248
534	462
535	278
536	286
537	314
538	331
539	369
540	361
541	263
542	229
543	229
544	365
545	304
546	274
547	287
548	302
549	314
550	356
551	285
552	335
553	298
554	260
555	374
556	291
557	281
558	583
559	256
560	352
561	253
562	262
563	295
564	274
565	278
566	258
567	276
568	269
569	321
570	253
571	240
572	195
573	250
574	361
575	368
576	298
577	391
578	301
579	318
580	218
581	296
582	342
583	227
584	198
585	252
586	246
587	262
588	349
589	233
590	273
591	319
592	249
593	359
594	287
595	243
596	320
597	331
598	286
599	276
600	181
601	199
602	201
603	193
604	271
605	191
606	204
607	212
608	194
609	274
610	258
611	287
612	295
613	178
614	206
615	197
616	159
617	207
618	163
619	154
620	159
621	141
622	263
623	182
624	179
625	191
626	175
627	210
628	179
629	160
630	309
631	160
632	223
633	120
634	147
635	117
636	176
637	127
638	149
639	138
640	124
641	130
642	130
643	126
644	124
645	112
646	212
647	201
648	136
649	102
650	123
651	151
652	133
653	154
654	120
655	140
656	124
657	123
658	134
659	163
660	136
661	135
662	107
663	132
664	131
665	120
666	147
667	116
668	126
669	131
670	124
671	169
672	86
673	117
674	122
675	117
676	117
677	149
678	99
679	119
680	133
681	159
682	117
683	139
684	263
685	158
686	210
687	144
688	157
689	207
690	179
691	273
692	255
693	239
694	248
695	357
696	224
697	217
698	183
699	278
700	310
701	178
702	259
703	231
704	262
705	205
706	208
707	206
708	222
709	208
710	199
711	242
712	183
713	224
714	161
715	220
716	202
717	223
718	198
719	206
720	279
721	208
722	239
723	199
724	283
725	333
726	241
727	175
728	218
729	271
730	251
731	263
732	193
733	225
734	217
735	285
736	268
737	242
738	293
739	232
740	253
741	213
742	350
743	312
744	283
745	190
746	332
747	264
748	111
749	194
750	136
751	165
752	132
753	240
754	102
755	122
756	109
757	195
758	144
759	161
760	100
761	155
762	133
763	162
764	135
765	138
766	159
767	130
768	172
769	112
770	189
771	95
772	136
773	198
774	177
775	227
776	112
777	129
778	126
779	192
780	121
781	160
782	119
783	110
784	93
785	103
786	84
787	117
788	136
789	112
790	111
791	110
792	83
793	94
794	68
795	96
796	88
797	85
798	89
799	78
800	92
801	77
802	101
803	102
804	100
805	111
806	84
807	88
808	80
809	72
810	71
811	78
812	105
813	106
814	89
815	84
816	74
817	98
818	111
819	97
820	74
821	89
822	85
823	73
824	101
825	116
826	86
827	104
828	93
829	87
830	119
831	80
832	104
833	91
834	82
835	93
836	96
837	104
838	62
839	75
840	86
841	84
842	67
843	74
844	41
845	93
846	72
847	86
848	77
849	84
850	81
851	92
852	54
853	56
854	48
855	55
856	61
857	47
858	63
859	75
860	76
861	68
862	73
863	67
864	61
865	61
866	65
867	67
868	63
869	71
870	43
871	77
872	48
873	50
874	73
875	65
876	43
877	51
878	51
879	40
880	60
881	85
882	76
883	54
884	69
885	104
886	74
887	73
888	63
889	116
890	74
891	127
892	82
893	91
894	53
895	36
896	62
897	94
898	75
899	108
900	73
901	83
902	62
903	86
904	76
905	55
906	79
907	58
908	77
909	51
910	66
911	59
912	76
913	57
914	81
915	93
916	59
917	57
918	85
919	90
920	47
921	44
922	49
923	88
924	81
925	69
926	56
927	60
928	54
929	44
930	74
931	73
932	48
933	66
934	60
935	66
936	88
937	83
938	79
939	85
940	59
941	79
942	68
943	56
944	42
945	64
946	44
947	71
948	48
949	31
950	67
951	110
952	56
953	68
954	40
955	62
956	70
957	70
958	55
959	65
960	45
961	67
962	53
963	53
964	34
965	50
966	75
967	44
968	50
969	51
970	36
971	59
972	43
973	42
974	69
975	53
976	67
977	51
978	54
979	42
980	41
981	36
982	44
983	47
984	48
985	72
986	43
987	32
988	38
989	29
990	49
991	35
992	40
993	63
994	40
995	38
996	50
997	35
998	47
999	40
1000	42
1001	30
1002	26
1003	40
1004	27
1005	42
1006	30
1007	51
1008	35
1009	41
1010	58
1011	50
1012	36
1013	38
1014	36
1015	41
1016	46
1017	52
1018	36
1019	53
1020	62
1021	34
1022	34
1023	64
1024	50
1025	63
1026	60
1027	52
1028	45
1029	56
1030	30
1031	33
1032	62
1033	38
1034	44
1035	51
1036	32
1037	37
1038	63
1039	46
1040	57
1041	52
1042	62
1043	64
1044	65
1045	52
1046	41
1047	52
1048	57
1049	49
1050	65
1051	37
1052	60
1053	61
1054	57
1055	59
1056	81
1057	113
1058	108
1059	97
1060	123
1061	75
1062	92
1063	81
1064	72
1065	79
1066	92
1067	118
1068	160
1069	125
1070	96
1071	95
1072	72
1073	63
1074	75
1075	86
1076	122
1077	105
1078	94
1079	130
1080	87
1081	109
1082	139
1083	84
1084	115
1085	125
1086	117
1087	146
1088	109
1089	105
1090	103
1091	121
1092	107
1093	115
1094	121
1095	151
1096	112
1097	101
1098	82
1099	138
1100	76
1101	110
1102	171
1103	135
1104	126
1105	108
1106	83
1107	122
1108	115
1109	116
1110	136
1111	79
1112	105
1113	103
1114	106
1115	88
1116	106
1117	79
1118	94
1119	86
1120	84
1121	86
1122	119
1123	131
1124	125
1125	110
1126	110
1127	121
1128	83
1129	104
1130	99
1131	79
1132	91
1133	83
1134	73
1135	91
1136	80
1137	61
1138	66
1139	66
1140	64
1141	82
1142	46
1143	58
1144	49
1145	58
1146	62
1147	68
1148	83
1149	78
1150	57
1151	62
1152	56
1153	50
1154	31
1155	57
1156	62
1157	100
1158	49
1159	64
1160	52
1161	64
1162	62
1163	92
1164	46
1165	54
1166	71
1167	71
1168	64
1169	43
1170	57
1171	59
1172	38
1173	38
1174	38
1175	42
1176	25
1177	52
1178	52
1179	38
1180	41
1181	51
1182	74
1183	51
1184	45
1185	29
1186	38
1187	43
1188	43
1189	34
1190	39
1191	39
1192	45
1193	32
1194	29
1195	23
1196	29
1197	36
1198	34
1199	30
1200	41
1201	37
1202	38
1203	31
1204	23
1205	40
1206	53
1207	53
1208	36
1209	52
1210	45
1211	35
1212	15
1213	41
1214	45
1215	23
1216	25
1217	17
1218	30
1219	25
1220	37
1221	35
1222	22
1223	21
1224	22
1225	39
1226	39
1227	25
1228	47
1229	49
1230	20
1231	22
1232	37
1233	48
1234	43
1235	21
1236	20
1237	25
1238	36
1239	40
1240	40
1241	45
1242	32
1243	18
1244	17
1245	33
1246	48
1247	27
1248	26
1249	48
1250	35
1251	64
1252	55
1253	36
1254	51
1255	46
1256	68
1257	60
1258	54
1259	52
1260	59
1261	25
1262	36
1263	28
1264	39
1265	36
1266	33
1267	38
1268	17
1269	27
1270	36
1271	36
1272	50
1273	42
1274	35
1275	39
1276	42
1277	41
1278	24
1279	18
1280	13
1281	15
1282	37
1283	39
1284	41
1285	39
1286	15
1287	27
1288	31
1289	29
1290	31
1291	49
1292	52
1293	56
1294	45
1295	53
1296	33
1297	19
1298	33
1299	20
1300	32
1301	17
1302	29
1303	13
1304	31
1305	34
1306	29
1307	13
1308	31
1309	30
1310	33
1311	30
1312	32
1313	49
1314	38
1315	26
1316	42
1317	31
1318	32
1319	26
1320	31
1321	25
1322	36
1323	35
1324	26
1325	29
1326	23
1327	28
1328	45
1329	23
1330	28
1331	29
1332	36
1333	26
1334	33
1335	27
1336	36
1337	36
1338	34
1339	48
1340	28
1341	39
1342	38
1343	32
1344	43
1345	40
1346	26
1347	19
1348	42
1349	27
1350	19
1351	21
1352	16
1353	25
1354	40
1355	16
1356	17
1357	23
1358	21
1359	42
1360	18
1361	20
1362	35
1363	25
1364	27
1365	30
1366	26
1367	30
1368	27
1369	27
1370	32
1371	22
1372	32
1373	22
1374	17
1375	23
1376	13
1377	23
1378	36
1379	30
1380	33
1381	27
1382	26
1383	21
1384	41
1385	37
1386	29
1387	26
1388	30
1389	16
1390	18
1391	28
1392	29
1393	33
1394	34
1395	16
1396	32
1397	27
1398	4
1399	40
1400	15
1401	21
1402	16
1403	30
1404	23
1405	33
1406	27
1407	43
1408	41
1409	40
1410	23
1411	26
1412	14
1413	29
1414	30
1415	31
1416	24
1417	29
1418	18
1419	30
1420	29
1421	34
1422	40
1423	36
1424	29
1425	32
1426	34
1427	23
1428	17
1429	28
1430	24
1431	31
1432	34
1433	38
1434	22
1435	31
1436	39
1437	34
1438	31
1439	29
1440	24
1441	36
1442	35
1443	43
1444	45
1445	25
1446	41
1447	15
1448	29
1449	37
1450	33
1451	31
1452	36
1453	41
1454	45
1455	33
1456	41
1457	22
1458	37
1459	28
1460	21
1461	23
1462	31
1463	30
1464	25
1465	52
1466	60
1467	39
1468	55
1469	40
1470	36
1471	36
1472	41
1473	60
1474	65
1475	66
1476	39
1477	70
1478	26
1479	54
1480	50
1481	67
1482	59
1483	44
1484	37
1485	59
1486	38
1487	31
1488	33
1489	35
1490	45
1491	37
1492	41
1493	51
1494	52
1495	32
1496	42
1497	39
1498	43
1499	76
1500	64
1501	53
1502	53
1503	79
1504	61
1505	42
1506	56
1507	37
1508	73
1509	47
1510	35
1511	34
1512	26
1513	27
1514	39
1515	47
1516	59
1517	45
1518	31
1519	43
1520	51
1521	52
1522	45
1523	58
1524	30
1525	82
1526	72
1527	65
1528	61
1529	42
1530	26
1531	80
1532	48
1533	47
1534	29
1535	50
1536	46
1537	44
1538	54
1539	41
1540	48
1541	22
1542	56
1543	44
1544	37
1545	50
1546	64
1547	50
1548	46
1549	34
1550	52
1551	53
1552	59
1553	31
1554	35
1555	36
1556	44
1557	59
1558	31
1559	29
1560	34
1561	40
1562	40
1563	36
1564	39
1565	56
1566	30
1567	38
1568	31
1569	57
1570	37
1571	47
1572	36
1573	47
1574	30
1575	38
1576	59
1577	65
1578	47
1579	31
1580	39
1581	34
1582	57
1583	53
1584	35
1585	43
1586	27
1587	31
1588	25
1589	63
1590	30
1591	41
1592	40
1593	32
1594	39
1595	32
1596	26
1597	29
1598	26
1599	61
1600	41
1601	46
1602	40
1603	40
1604	48
1605	52
1606	32
1607	45
1608	52
1609	37
1610	23
1611	21
1612	36
1613	35
1614	23
1615	31
1616	17
1617	31
1618	28
1619	46
1620	30
1621	21
1622	46
1623	44
1624	56
1625	44
1626	22
1627	27
1628	46
1629	39
1630	43
1631	26
1632	25
1633	36
1634	41
1635	23
1636	41
1637	21
1638	31
1639	21
1640	45
1641	22
1642	51
1643	27
1644	24
1645	37
1646	36
1647	24
1648	34
1649	27
1650	49
1651	42
1652	26
1653	29
1654	32
1655	25
1656	49
1657	34
1658	38
1659	29
1660	28
1661	18
1662	17
1663	17
1664	35
1665	23
1666	29
1667	21
1668	30
1669	20
1670	21
1671	33
1672	16
1673	15
1674	19
1675	34
1676	25
1677	22
1678	18
1679	15
1680	22
1681	30
1682	12
1683	20
1684	15
1685	26
1686	11
1687	20
1688	21
1689	21
1690	34
1691	36
1692	22
1693	37
1694	28
1695	28
1696	16
1697	21
1698	28
1699	19
1700	22
1701	36
1702	34
1703	27
1704	22
1705	26
1706	17
1707	16
1708	22
1709	32
1710	21
1711	26
1712	27
1713	18
1714	21
1715	27
1716	13
1717	14
1718	23
1719	15
1720	29
1721	11
1722	10
1723	27
1724	17
1725	30
1726	27
1727	15
1728	16
1729	24
1730	15
1731	20
1732	19
1733	20
1734	29
1735	20
1736	43
1737	20
1738	14
1739	20
1740	32
1741	19
1742	28
1743	24
1744	33
1745	15
1746	19
1747	25
1748	37
1749	21
1750	6
1751	5
1752	5
1753	3
1754	5
1755	6
1756	11
1757	8
1758	10
1759	5
1760	8
1761	6
1762	2
1763	7
1764	7
1765	6
1766	7
1767	9
1768	3
1769	2
1770	7
1771	5
1772	6
1773	3
1774	9
1775	4
1776	5
1777	9
1778	4
1779	5
1780	11
1781	9
1782	6
1783	5
1784	8
1785	9
1786	13
1787	10
