Total Reads                   3759788
Total Tags                    3759530
Total Assigned Tags           959857
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           758017              151656              200.07            
5'UTR_Exons         186935              16968               90.77             
3'UTR_Exons         772195              257473              333.43            
Exons               1710592             130959              76.56             
Introns             20780158            389458              18.74             
TSS_up_1kb          707020              1748                2.47              
TSS_up_5kb          2207803             3782                1.71              
TSS_up_10kb         1897866             2701                1.42              
TES_down_1kb        341473              1377                4.03              
TES_down_5kb        1031471             2264                2.19              
TES_down_10kb       885232              1471                1.66              
=====================================================================
