gene_id	gene_name	gene_len	total_pct_count	anchor_sum	anchor_mean	anchor_nonzero_bins	max_ratio	used	skip_reason
ENSG00000233927.5	RPS28	1330	148022	494	49.4000	10	834.2308	true	-
ENSG00000134419.15	RPS15A	1022	257851	821	82.1000	10	686.3094	true	-
ENSG00000285827.1	ENSG00000285827	4336	18371	123	12.3000	3	422.8455	true	-
ENSG00000142864.15	SERBP1	6676	94915	153	15.3000	10	325.2941	true	-
ENSG00000163956.13	LRPAP1	10446	67818	169	16.9000	9	274.0828	true	-
ENSG00000197728.11	RPS26	1140	128955	943	94.3000	10	269.9894	true	-
ENSG00000198830.12	HMGN2	1940	88834	372	37.2000	10	269.5161	true	-
ENSG00000177700.6	POLR2L	876	8984	108	10.8000	9	261.1111	true	-
ENSG00000089248.7	ERP29	1623	79668	239	23.9000	10	241.6736	true	-
ENSG00000044574.9	HSPA5	3825	255131	393	39.3000	10	223.6132	true	-
ENSG00000127540.12	UQCR11	753	15104	215	21.5000	10	217.3023	true	-
ENSG00000116459.11	ATP5PB	2628	37337	110	11.0000	8	214.9091	true	-
ENSG00000150459.13	SAP18	2234	42350	252	25.2000	10	196.5873	true	-
ENSG00000215472.10	RPL17-C18orf32	1440	324815	3068	306.8000	10	185.3259	true	-
ENSG00000109861.17	CTSC	1524	24038	107	10.7000	10	180.9346	true	-
ENSG00000163931.17	TKT	2831	283658	637	63.7000	10	179.2151	true	-
ENSG00000270800.4	RPS10-NUDT3	2911	255308	2448	244.8000	10	170.6127	true	-
ENSG00000069275.13	NUCKS1	6399	53067	117	11.7000	10	165.7265	true	-
ENSG00000165678.22	GHITM	3761	47817	146	14.6000	10	160.0685	true	-
ENSG00000139597.18	N4BP2L1	2032	14034	167	16.7000	9	159.8802	true	-
ENSG00000258674.5	ENSG00000258674	1100	17694	237	23.7000	10	156.9620	true	-
ENSG00000250644.3	ENSG00000250644	2228	149594	630	63.0000	10	156.4921	true	-
ENSG00000175390.15	EIF3F	6920	84721	490	49.0000	10	153.4898	true	-
ENSG00000180071.21	ANKRD18A	3917	48944	129	12.9000	10	143.7209	true	-
ENSG00000170860.4	LSM3	3359	12653	163	16.3000	10	136.7485	true	-
ENSG00000184840.12	TMED9	2546	34302	178	17.8000	10	131.6292	true	-
ENSG00000182004.13	SNRPE	1560	14091	169	16.9000	10	131.1243	true	-
ENSG00000125304.10	TM9SF2	3417	50406	129	12.9000	10	129.8450	true	-
ENSG00000100216.6	TOMM22	2031	20507	111	11.1000	10	124.1441	true	-
ENSG00000130414.13	NDUFA10	1738	17432	106	10.6000	6	122.6415	true	-
ENSG00000185104.21	FAF1	6821	27043	106	10.6000	10	122.6415	true	-
ENSG00000253719.4	ATXN7L3B	7596	60033	108	10.8000	8	115.0000	true	-
ENSG00000004455.18	AK2	3040	19273	252	25.2000	10	106.1508	true	-
ENSG00000132763.15	MMACHC	5049	8443	141	14.1000	10	102.9787	true	-
ENSG00000133773.12	CCDC59	1585	16139	137	13.7000	9	100.4380	true	-
ENSG00000231389.8	HLA-DPA1	1375	17291	287	28.7000	10	97.0035	true	-
ENSG00000134884.15	ARGLU1	3363	86923	560	56.0000	9	91.3750	true	-
ENSG00000175040.6	CHST2	4142	31264	124	12.4000	10	90.7258	true	-
ENSG00000070495.15	JMJD6	5303	21505	165	16.5000	10	90.2424	true	-
ENSG00000186468.13	RPS23	1019	373567	10783	1078.3000	10	88.6803	true	-
ENSG00000113013.16	HSPA9	4404	77098	263	26.3000	10	88.5171	true	-
ENSG00000157734.14	SNX22	3600	46237	567	56.7000	10	88.4127	true	-
ENSG00000108639.8	SYNGR2	2041	26490	210	21.0000	10	87.5238	true	-
ENSG00000099974.8	DDTL	1582	3395	141	14.1000	8	85.0355	true	-
ENSG00000182551.14	ADI1	2181	20495	140	14.0000	10	83.7857	true	-
ENSG00000124783.14	SSR1	1808	15972	123	12.3000	9	83.7398	true	-
ENSG00000174547.13	MRPL11	1527	10086	133	13.3000	10	83.4586	true	-
ENSG00000168118.12	RAB4A	2987	14061	108	10.8000	10	82.9630	true	-
ENSG00000111615.14	KRR1	10104	50619	208	20.8000	9	82.1635	true	-
ENSG00000283787.2	PRR33	3818	20288	277	27.7000	10	80.5415	true	-
ENSG00000069956.14	MAPK6	5330	28320	106	10.6000	10	79.0566	true	-
ENSG00000131966.14	ACTR10	2408	11755	127	12.7000	10	78.9764	true	-
ENSG00000196262.15	PPIA	2237	152775	3172	317.2000	10	78.7736	true	-
ENSG00000130638.18	ATXN10	3135	19726	116	11.6000	10	77.5000	true	-
ENSG00000173473.11	SMARCC1	6354	61974	138	13.8000	10	76.5942	true	-
ENSG00000140374.17	ETFA	2069	22316	240	24.0000	10	76.5000	true	-
ENSG00000154582.18	ELOC	1709	7790	166	16.6000	10	76.3855	true	-
ENSG00000137106.18	GRHPR	1704	13467	153	15.3000	10	76.3399	true	-
ENSG00000142409.6	ZNF787	1657	2370	103	10.3000	10	76.3107	true	-
ENSG00000189241.8	TSPYL1	5073	61207	210	21.0000	10	74.7143	true	-
ENSG00000158457.6	TSPAN33	2951	25387	149	14.9000	10	73.6913	true	-
ENSG00000169762.17	TAPT1	4521	27745	126	12.6000	10	73.4921	true	-
ENSG00000116473.15	RAP1A	5018	16145	187	18.7000	10	69.0374	true	-
ENSG00000198168.9	SVIP	4479	23268	302	30.2000	10	68.9404	true	-
ENSG00000130402.14	ACTN4	4752	89162	326	32.6000	10	67.3620	true	-
ENSG00000160075.12	SSU72	4176	17927	213	21.3000	10	66.5728	true	-
ENSG00000288000.1	ENSG00000288000	4024	30238	468	46.8000	10	66.5598	true	-
ENSG00000147604.14	RPL7	1233	665225	11098	1109.8000	10	65.2027	true	-
ENSG00000023318.9	ERP44	4555	24569	184	18.4000	10	64.8913	true	-
ENSG00000101160.15	CTSZ	1643	26193	387	38.7000	10	64.3411	true	-
ENSG00000153989.8	NUS1	4796	14123	122	12.2000	8	64.1803	true	-
ENSG00000103363.16	ELOB	974	23230	778	77.8000	10	64.0746	true	-
ENSG00000067082.15	KLF6	4537	205398	683	68.3000	10	62.8404	true	-
ENSG00000163655.16	GMPS	8631	24997	104	10.4000	9	62.6923	true	-
ENSG00000248919.7	ATP5MF-PTCD1	2491	12422	748	74.8000	10	62.5134	true	-
ENSG00000115977.21	AAK1	4499	12900	106	10.6000	10	60.8491	true	-
ENSG00000134056.12	MRPS36	1200	5342	203	20.3000	10	60.7882	true	-
ENSG00000164823.11	OSGIN2	4209	16671	148	14.8000	10	60.6081	true	-
ENSG00000136888.8	ATP6V1G1	1067	9057	400	40.0000	10	59.9500	true	-
ENSG00000084463.8	WBP11	4581	38528	182	18.2000	9	59.2857	true	-
ENSG00000131508.17	UBE2D2	2214	16357	223	22.3000	10	59.1928	true	-
ENSG00000137815.15	RTF1	5030	28029	114	11.4000	10	57.8947	true	-
ENSG00000134851.13	TMEM165	1567	4663	161	16.1000	9	57.2671	true	-
ENSG00000151702.18	FLI1	3825	28391	142	14.2000	10	57.1831	true	-
